NT	OT
Act 15:16,17	Amo 9:11,12
Act 15:9	Psa 51:10
Act 17:24	1Ki 8:27
Act 17:24	Gen 1:1
Act 17:28	Job 12:10
Act 1:16	Psa 41:9
Act 1:16	Psa 55:12
Act 1:20	Psa 109:8
Act 1:20	Psa 69:25
Act 1:7	Deu 29:29
Act 20:35	Pro 19:17
Act 23:5	Exo 22:28
Act 26:18	Isa 61:1
Act 28:26	Isa 6:9
Act 28:26,27	Isa 6:9,10
Act 2:16	Joe 2:28
Act 2:17	Isa 44:3
Act 2:17	Joe 2:28
Act 2:17-21	Joe 2:28-32
Act 2:2	Joe 2:28
Act 2:21	Jer 33:3
Act 2:21	Zec 13:9
Act 2:25	Psa 16:8
Act 2:25-28	Psa 16:8-10
Act 2:27	Psa 16:10
Act 2:28	Psa 16:11
Act 2:33	Isa 44:3
Act 2:34	Psa 110:1
Act 2:39	Isa 44:3
Act 2:39	Joe 2:28
Act 3:19	Isa 43:25
Act 3:19	Psa 51:1
Act 3:22	Deu 18:15
Act 3:22,23	Deu 18:15,18,19
Act 3:25	Gen 22:18
Act 4:11	Isa 28:16
Act 4:11	Psa 118:22
Act 4:24	Gen 1:1
Act 4:25,26	Psa 2:1,2
Act 7:3	Gen 12:1
Act 7:32	Exo 3:6
Act 7:37	Deu 18:15
Act 7:42,43	Amo 5:25,26
Act 7:48	1Ki 8:27
Act 7:48	Isa 66:1
Act 7:49,50	Isa 66:1,2
Act 8:32	Isa 53:7
Act 8:32,33	Isa 53:7,8
Act 9:11	2Ch 7:14
Col 1:11	Isa 40:29
Col 1:16	Gen 1:1
Col 3:1	Psa 73:25
Col 3:10	Gen 1:26
Col 3:10	Psa 51:10
Col 3:12	Mic 6:8
Col 3:16	Jer 15:16
Col 3:16	Jos 1:8
Col 3:16	Psa 100:4
Col 3:16	Psa 119:11
Col 3:17	Pro 3:6
Col 3:17	Psa 34:1
Col 3:2	1Ch 22:19
Col 3:2	Psa 119:36
Col 3:2	Psa 31:19
Col 3:20	Exo 20:12
Col 3:23	2Ch 31:21
Col 3:23	Ecc 9:10
Col 3:23	Pro 3:6
Col 4:6	Pro 18:21
Eph 1:12	Pro 3:5
Eph 1:17	Isa 11:2
Eph 1:17	Pro 2:5
Eph 1:17	Pro 2:6
Eph 1:4	Isa 44:2
Eph 1:6	Isa 43:25
Eph 2:10	Isa 43:21
Eph 2:10	Psa 100:3
Eph 2:10	Psa 51:10
Eph 2:14	Isa 26:3
Eph 3:16	Isa 40:29
Eph 3:16	Isa 41:10
Eph 3:20	1Ki 3:13
Eph 3:20	Dan 3:17
Eph 3:20	Gen 17:1
Eph 3:20	Gen 18:14
Eph 3:20	Jer 32:17
Eph 3:20	Jer 32:27
Eph 3:20	Jer 33:3
Eph 3:20	Psa 23:5
Eph 3:20	Psa 36:8
Eph 3:9	Gen 1:1
Eph 4:11	Jer 3:15
Eph 4:22	Psa 51:10
Eph 4:23	Psa 51:10
Eph 4:24	Gen 1:26
Eph 4:25	Zec 8:16
Eph 4:26	Psa 37:8
Eph 4:26	Psa 4:4
Eph 4:29	Ecc 10:12
Eph 4:29	Pro 15:7
Eph 4:29	Pro 18:21
Eph 4:3	Psa 133:1
Eph 4:8	Psa 68:18
Eph 5:13	Psa 119:105
Eph 5:14	Isa 26:19
Eph 5:14	Isa 52:1
Eph 5:14	Isa 60:1
Eph 5:16	Psa 90:12
Eph 5:28	Gen 2:24
Eph 5:31	Gen 2:24
Eph 5:8	Isa 60:1
Eph 5:8	Isa 9:2
Eph 6:1	Exo 20:12
Eph 6:10	1Sa 23:16
Eph 6:10	Deu 20:3
Eph 6:10	Deu 31:6
Eph 6:10	Isa 40:28
Eph 6:10	Isa 40:31
Eph 6:10	Jos 1:9
Eph 6:13	Psa 1:1
Eph 6:14	Isa 11:5
Eph 6:14	Isa 59:17
Eph 6:15	Isa 52:7
Eph 6:17	Isa 59:17
Eph 6:2	Exo 20:12
Eph 6:2,3	Exo 20:12
Eph 6:3	Deu 5:16
Eph 6:4	Deu 4:9
Eph 6:4	Pro 22:6
Gal 1:15	Jer 1:5
Gal 3:10	Deu 27:26
Gal 3:11	Hab 2:4
Gal 3:12	Lev 18:5
Gal 3:13	Deu 21:23
Gal 3:16	Gen 22:18
Gal 3:6	Gen 15:6
Gal 3:8	Gen 12:3
Gal 4:27	Isa 54:1
Gal 4:30	Gen 21:10
Gal 4:4	Gen 3:15
Gal 4:6	Hos 1:10
Gal 5:14	Lev 19:18
Gal 5:22	Psa 1:3
Gal 6:10	Pro 3:27
Gal 6:7	Hos 10:12
Gal 6:7	Job 4:8
Gal 6:7	Pro 11:18
Gal 6:9	Deu 11:14
Gal 6:9	Isa 40:30
Gal 6:9	Isa 40:31
Gal 6:9	Lev 26:4
Gal 6:9	Psa 145:15
Heb 10:12	Psa 110:1
Heb 10:14	Isa 53:5
Heb 10:16	Isa 59:21
Heb 10:16	Jer 31:31
Heb 10:16	Jer 31:33
Heb 10:16,17	Jer 31:33,34
Heb 10:17	Isa 43:25
Heb 10:22	Eze 36:25
Heb 10:23	Deu 7:9
Heb 10:23	Lam 3:23
Heb 10:24	Pro 27:17
Heb 10:28	Deu 17:6
Heb 10:30	Deu 32:35,36
Heb 10:36	Hab 2:3
Heb 10:36	Isa 8:17
Heb 10:36	Psa 37:7
Heb 10:37,38	Hab 2:3,4
Heb 10:38	1Ch 28:9
Heb 10:38	Ezr 8:22
Heb 10:38	Hab 2:4
Heb 10:4	1Sa 15:22
Heb 10:5-7	Psa 40:6-8
Heb 10:7	Psa 40:7
Heb 11:1	Psa 27:13
Heb 11:1	Psa 42:11
Heb 11:3	Gen 1:1
Heb 11:6	1Ch 28:9
Heb 11:6	Jer 29:13
Heb 11:6	Pro 8:17
Heb 11:6	Psa 105:3
Heb 11:6	Psa 119:10
Heb 11:8	Gen 12:1
Heb 12:1	Isa 40:31
Heb 12:12	1Sa 23:16
Heb 12:13	Zep 3:19
Heb 12:14	Psa 34:14
Heb 12:15	Pro 4:23
Heb 12:2	Mic 7:7
Heb 12:26	Hag 2:6
Heb 12:29	Deu 4:24
Heb 12:3	Isa 40:31
Heb 12:5	Pro 3:11
Heb 12:5,6	Pro 3:11,12
Heb 13:1	Psa 133:1
Heb 13:20	Psa 23:1
Heb 13:4	Gen 2:24
Heb 13:5	1Ch 28:20
Heb 13:5	1Sa 12:22
Heb 13:5	Deu 31:6
Heb 13:5	Deu 31:8
Heb 13:5	Gen 28:15
Heb 13:5	Isa 41:10
Heb 13:5	Isa 41:17
Heb 13:5	Jos 1:5
Heb 13:5	Psa 23:1
Heb 13:5	Psa 37:25
Heb 13:6	Dan 3:16
Heb 13:6	Deu 33:26
Heb 13:6	Deu 33:29
Heb 13:6	Exo 18:4
Heb 13:6	Gen 15:1
Heb 13:6	Isa 41:10
Heb 13:6	Isa 41:14
Heb 13:6	Psa 115:9
Heb 13:6	Psa 118:6
Heb 13:6	Psa 121:2
Heb 13:6	Psa 124:8
Heb 13:6	Psa 146:3
Heb 13:6	Psa 18:1
Heb 13:6	Psa 27:1
Heb 13:6	Psa 27:9
Heb 13:6	Psa 33:20
Heb 13:6	Psa 40:17
Heb 13:6	Psa 54:4
Heb 13:6	Psa 56:11
Heb 13:6	Psa 56:4
Heb 13:6	Psa 63:7
Heb 13:6	Psa 94:17
Heb 13:8	Exo 3:14
Heb 13:8	Isa 44:6
Heb 13:8	Mal 3:6
Heb 13:8	Psa 102:27
Heb 13:8	Psa 90:2
Heb 1:10	Gen 1:1
Heb 1:10,11,12	Psa 102:25,26,27
Heb 1:13	Psa 110:1
Heb 1:2	Gen 1:1
Heb 1:3	Psa 110:1
Heb 1:5	Psa 2:7
Heb 1:6	Psa 97:7
Heb 1:7	Psa 104:4
Heb 1:8	Psa 45:6
Heb 1:8,9	Psa 45:6,7
Heb 2:12	Psa 22:22
Heb 2:13	Isa 8:18
Heb 2:14	Gen 3:15
Heb 2:6	Psa 8:4
Heb 2:6-8	Psa 8:4-6
Heb 3:12	Jer 17:9
Heb 3:4	Gen 1:1
Heb 3:7	Isa 55:3
Heb 3:7	Psa 81:13
Heb 3:7	Psa 95:7
Heb 3:7-11	Psa 95:7-11
Heb 4:12	Isa 49:2
Heb 4:12	Isa 55:11
Heb 4:12	Jer 17:10
Heb 4:12	Jer 23:29
Heb 4:12	Psa 119:130
Heb 4:12	Psa 149:6
Heb 4:13	Psa 139:1
Heb 4:16	Isa 55:6
Heb 4:3	Psa 95:11
Heb 4:4	Gen 2:2,3
Heb 4:7	Psa 95:7,8
Heb 5:5	Psa 2:7
Heb 5:6	Psa 110:4
Heb 5:7	Psa 34:4
Heb 5:9	Isa 45:17
Heb 6:14	Gen 22:16,17
Heb 6:18	Num 23:19
Heb 6:4	Psa 34:8
Heb 7:17,21	Psa 110:4
Heb 7:25	Zep 3:17
Heb 8:10	Deu 30:6
Heb 8:10	Exo 19:5
Heb 8:10	Eze 11:19
Heb 8:10	Eze 36:26
Heb 8:10	Eze 37:27
Heb 8:10	Jer 24:7
Heb 8:10	Jer 31:33
Heb 8:10	Jer 32:38
Heb 8:10	Jer 32:40
Heb 8:10	Zec 13:9
Heb 8:10	Zec 8:8
Heb 8:12	Isa 43:25
Heb 8:5	Exo 25:40
Heb 8:6	Isa 59:21
Heb 8:8	Jer 31:31
Heb 8:8-12	Jer 31:31-34
Heb 9:12	Isa 53:5
Heb 9:20	Exo 24:8
Heb 9:22	Lev 17:11
Jas 1:14	Jer 17:9
Jas 1:14	Pro 4:23
Jas 1:15	Gen 4:7
Jas 1:17	Mal 3:6
Jas 1:17	Num 23:19
Jas 1:17	Pro 2:6
Jas 1:17	Psa 84:11
Jas 1:19	Pro 10:19
Jas 1:19	Pro 13:3
Jas 1:19	Pro 14:29
Jas 1:19	Pro 16:32
Jas 1:19	Pro 17:27
Jas 1:19	Pro 18:13
Jas 1:19	Pro 21:23
Jas 1:21	Psa 119:9
Jas 1:22	Jos 1:8
Jas 1:25	Psa 119:1
Jas 1:27	Isa 1:16
Jas 1:5	Jer 29:12
Jas 1:5	Pro 2:3
Jas 1:5	Pro 3:5
Jas 1:5	Pro 3:6
Jas 2:23	Gen 15:6
Jas 2:5	Psa 31:19
Jas 2:8	Lev 19:18
Jas 3:17	Pro 2:6
Jas 3:6	Pro 18:21
Jas 3:6	Psa 120:2
Jas 4:10	Pro 22:4
Jas 4:10	Psa 147:6
Jas 4:13	Pro 27:1
Jas 4:15	Psa 37:5
Jas 4:6	Pro 29:23
Jas 4:6	Pro 3:34
Jas 4:8	1Ch 28:9
Jas 4:8	2Ch 15:2
Jas 4:8	Isa 55:6
Jas 4:8	Isa 55:7
Jas 4:8	Mal 3:7
Jas 4:8	Psa 145:18
Jas 4:8	Zec 1:3
Jas 4:9	2Ch 7:14
Jas 5:11	Job 1:1
Jas 5:16	Jer 29:12
Jas 5:16	Jer 33:3
Jas 5:16	Pro 15:29
Jas 5:16	Psa 145:18
Jas 5:16	Psa 34:15
Jas 5:7	Psa 37:7
Jde 1:24	Psa 16:11
Jhn 10:10	Eze 34:2
Jhn 10:11	Psa 23:1
Jhn 10:14	Nah 1:7
Jhn 10:14	Psa 23:1
Jhn 10:27	Nah 1:7
Jhn 10:27	Psa 23:1
Jhn 10:28	Isa 45:17
Jhn 10:28	Isa 54:17
Jhn 10:34	Psa 82:6
Jhn 12:13	Psa 118:26
Jhn 12:14,15	Zec 9:9
Jhn 12:15	Isa 62:11
Jhn 12:15	Zec 9:9
Jhn 12:35	Isa 55:6
Jhn 12:38	Isa 53:1
Jhn 12:39	Isa 44:18
Jhn 12:40	Isa 6:10
Jhn 12:40	Isa 6:9
Jhn 12:46	Isa 60:1
Jhn 13:17	Deu 11:27
Jhn 13:17	Jos 1:8
Jhn 13:18	Psa 41:9
Jhn 13:34	Lev 19:18
Jhn 13:35	Psa 133:1
Jhn 14:1	Isa 12:2
Jhn 14:1	Isa 26:3
Jhn 14:1	Psa 42:5
Jhn 14:21	Deu 11:27
Jhn 14:21	Jos 1:8
Jhn 14:23	Pro 8:17
Jhn 14:23	Psa 91:14
Jhn 14:27	Isa 26:3
Jhn 14:27	Isa 41:10
Jhn 14:27	Num 6:26
Jhn 14:6	Isa 35:8
Jhn 15:1	Isa 27:2
Jhn 15:1	Jer 2:21
Jhn 15:14	Deu 28:1
Jhn 15:15	Amo 3:7
Jhn 15:15	Psa 25:14
Jhn 15:16	Jer 1:5
Jhn 15:16	Psa 37:4
Jhn 15:25	Psa 69:4
Jhn 15:5	Pro 11:30
Jhn 15:6	Psa 1:3
Jhn 15:7	Jer 15:16
Jhn 15:7	Pro 10:24
Jhn 15:7	Psa 37:4
Jhn 16:33	Isa 26:3
Jhn 17:17	Psa 119:160
Jhn 17:21	Psa 133:1
Jhn 17:3	Jer 9:23
Jhn 19:24	Psa 22:18
Jhn 19:24	Psa 22:19
Jhn 19:28	Psa 22:15
Jhn 19:28	Psa 69:21
Jhn 19:36	Exo 12:46
Jhn 19:36	Psa 34:20
Jhn 19:37	Zec 12:10
Jhn 1:1	Gen 1:1
Jhn 1:1	Isa 7:14
Jhn 1:1	Isa 9:6
Jhn 1:1	Pro 8:22
Jhn 1:14	Isa 40:5
Jhn 1:23	Isa 40:3
Jhn 1:29	Isa 53:7
Jhn 1:5	Gen 1:3
Jhn 20:9	Psa 16:10
Jhn 2:17	Psa 69:9
Jhn 3:14	Num 21:7
Jhn 3:16	Gen 22:12
Jhn 3:21	Psa 31:19
Jhn 3:3	Eze 36:26
Jhn 3:34	Isa 59:21
Jhn 3:34	Isa 61:1
Jhn 3:5	Eze 36:25
Jhn 4:10	Isa 44:3
Jhn 4:14	Isa 58:11
Jhn 4:14	Isa 59:21
Jhn 4:14	Jer 17:13
Jhn 4:24	1Ch 28:9
Jhn 4:24	1Sa 7:3
Jhn 4:36	Ecc 11:6
Jhn 5:24	Isa 45:17
Jhn 5:25	Eze 37:4
Jhn 5:44	Isa 44:18
Jhn 5:46	Deu 18:15
Jhn 5:46	Deu 18:18
Jhn 6:31	Psa 78:24
Jhn 6:40	Isa 45:17
Jhn 6:45	Isa 48:17
Jhn 6:45	Isa 54:13
Jhn 6:45	Jer 31:33
Jhn 6:63	Isa 55:11
Jhn 6:63	Psa 119:93
Jhn 6:67	Jos 24:15
Jhn 7:16	Isa 59:21
Jhn 7:24	1Sa 16:7
Jhn 7:37	Isa 44:3
Jhn 7:37	Isa 55:1
Jhn 7:38	Isa 12:3
Jhn 7:38	Isa 44:3
Jhn 7:38	Isa 58:11
Jhn 7:38	Isa 59:21
Jhn 7:38	Pro 10:11
Jhn 7:38	Pro 18:4
Jhn 7:38	Zec 14:8
Jhn 7:39	Isa 59:21
Jhn 8:12	Isa 60:1
Jhn 8:12	Isa 9:2
Jhn 8:12	Job 33:28
Jhn 8:12	Pro 4:18
