NT	OT
Acts.28.26	Isa.6.9
Acts.3.19	Isa.43.25
Acts.3.19	Ps.51.1
Acts.3.22	Deut.18.15
Acts.4.11	Isa.28.16
Acts.4.11	Ps.118.22
Acts.4.24	Gen.1.1
Acts.7.48	1Kgs.8.27
Acts.7.48	Isa.66.1
Acts.8.32	Isa.53.7
Acts.9.11	2Chr.7.14
Col.1.11	Isa.40.29
Col.1.16	Gen.1.1
Col.3.1	Ps.73.25
Col.3.10	Gen.1.26
Col.3.10	Ps.51.10
Col.3.12	Mic.6.8
Col.3.16	Jer.15.16
Col.3.16	Josh.1.8
Col.3.16	Ps.100.4
Col.3.16	Ps.119.11
Col.3.17	Prov.3.6
Col.3.17	Ps.34.1
Col.3.2	1Chr.22.19
Col.3.2	Ps.119.36
Col.3.2	Ps.31.19
Col.3.20	Exod.20.12
Col.3.23	2Chr.31.21
Col.3.23	Eccl.9.10
Col.3.23	Prov.3.6
Col.4.6	Prov.18.21
Eph.1.12	Prov.3.5
Eph.1.17	Isa.11.2
Eph.1.17	Prov.2.5
Eph.1.17	Prov.2.6
Eph.1.4	Isa.44.2
Eph.1.6	Isa.43.25
Eph.2.10	Isa.43.21
Eph.2.10	Ps.100.3
Eph.2.10	Ps.51.10
Eph.2.14	Isa.26.3
Eph.3.16	Isa.40.29
Eph.3.16	Isa.41.10
Eph.3.20	1Kgs.3.13
Eph.3.20	Dan.3.17
Eph.3.20	Gen.17.1
Eph.3.20	Gen.18.14
Eph.3.20	Jer.32.17
Eph.3.20	Jer.32.27
Eph.3.20	Jer.33.3
Eph.3.20	Ps.23.5
Eph.3.20	Ps.36.8
Eph.3.9	Gen.1.1
Eph.4.11	Jer.3.15
Eph.4.22	Ps.51.10
Eph.4.23	Ps.51.10
Eph.4.24	Gen.1.26
Eph.4.26	Ps.37.8
Eph.4.26	Ps.4.4
Eph.4.29	Eccl.10.12
Eph.4.29	Prov.15.7
Eph.4.29	Prov.18.21
Eph.4.3	Ps.133.1
Eph.4.8	Ps.68.18
Eph.5.13	Ps.119.105
Eph.5.14	Isa.26.19
Eph.5.14	Isa.52.1
Eph.5.14	Isa.60.1
Eph.5.16	Ps.90.12
Eph.5.28	Gen.2.24
Eph.5.8	Isa.60.1
